# X    U     P    rho
0.429 0 404400 4.696
0.43 0 404400 4.696
0.431 0 404400 4.696
0.432 0 404400 4.696
0.433 0 404400 4.696
0.434 0 404400 4.696
0.435 0 404400 4.696
0.436 0 404400 4.696
0.437 0 404400 4.696
0.438 0 404400 4.696
0.439 0 404400 4.696
0.44 0 404400 4.696
0.441 0 404400 4.696
0.442 0 404400 4.696
0.443 0 404400 4.696
0.444 0 404400 4.696
0.445 0 404400 4.696
0.446 0 404400 4.696
0.447 0 404400 4.696
0.448 0 404400 4.696
0.449 0 404400 4.696
0.45 0 404400 4.696
0.451 0 404400 4.696
0.452 0 404400 4.696
0.453 0 404400 4.696
0.454 0 404400 4.696
0.455 0 404400 4.696
0.456 0 404400 4.696
0.457 0 404400 4.696
0.458 0 404400 4.696
0.459 0 404400 4.696
0.46 0 404400 4.696
0.461 0 404400 4.696
0.462 0 404400 4.696
0.463 0 404400 4.696
0.464 0 404400 4.696
0.465 0 404400 4.696
0.466 0 404400 4.696
0.467 0 404400 4.696
0.468 0 404400 4.696
0.469 0 404400 4.696
0.47 0 404400 4.696
0.471 0 404400 4.696
0.472 0 404400 4.696
0.473 0 404400 4.696
0.474 0 404400 4.696
0.475 0 404400 4.696
0.476 0 404400 4.696
0.477 0 404400 4.696
0.478 0 404400 4.696
0.479 0 404400 4.696
0.48 0 404400 4.696
0.481 0 404400 4.696
0.482 0 404400 4.696
0.483 0 404400 4.696
0.484 0 404400 4.696
0.485 0 404400 4.696
0.486 0 404400 4.696
0.487 0 404400 4.696
0.488 0 404400 4.696
0.489 0 404400 4.696
0.49 0 404400 4.696
0.491 0 404400 4.696
0.492 0 404400 4.696
0.493 0 404400 4.696
0.494 0 404400 4.696
0.495 0 404400 4.696
0.496 0 404400 4.696
0.497 0 404400 4.696
0.498 0 404400 4.696
0.499 0 404400 4.696
0.5 0 404400 4.696
0.501 0 404400 4.696
0.502 0 404400 4.696
0.503 0 404400 4.696
0.504 0 404400 4.696
0.505 0 404400 4.696
0.506 0 404400 4.696
0.507 0 404400 4.696
0.508 0 404400 4.696
0.509 0 404400 4.696
0.51 0 404400 4.696
0.511 0 404400 4.696
0.512 0 404400 4.696
0.513 0 404400 4.696
0.514 0 404400 4.696
0.515 0 404400 4.696
0.516 0 404400 4.696
0.517 0 404400 4.696
0.518 0 404400 4.696
0.519 0 404400 4.696
0.52 0 404400 4.696
0.521 0 404400 4.696
0.522 0 404400 4.696
0.523 0 404400 4.696
0.524 0 404400 4.696
0.525 0 404400 4.696
0.526 0 404400 4.696
0.527 0 404400 4.696
0.528 0 404400 4.696
0.529 0 404400 4.696
0.53 0 404400 4.696
0.531 0 404400 4.696
0.532 0 404400 4.696
0.533 0 404400 4.696
0.534 0 404400 4.696
0.535 0 404400 4.696
0.536 0 404400 4.696
0.537 0 404400 4.696
0.538 0 404400 4.696
0.539 0 404400 4.696
0.54 0 404400 4.696
0.541 0 404400 4.696
0.542 0 404400 4.696
0.543 0 404400 4.696
0.544 0 404400 4.696
0.545 0 404400 4.696
0.546 0 404400 4.696
0.547 0 404400 4.696
0.548 0 404400 4.696
0.549 0 404400 4.696
0.55 0 404400 4.696
0.551 0 404400 4.696
0.552 0 404400 4.696
0.553 0 404400 4.696
0.554 0 404400 4.696
0.555 0 404400 4.696
0.556 0 404400 4.696
0.557 0 404400 4.696
0.558 0 404400 4.696
0.559 0 404400 4.696
0.56 0 404400 4.696
0.561 0 404400 4.696
0.562 0 404400 4.696
0.563 0 404400 4.696
0.564 0 404400 4.696
0.565 0 404400 4.696
0.566 0 404400 4.696
0.567 0 404400 4.696
0.568 0 404400 4.696
0.569 0 404400 4.696
0.57 0 404400 4.696
0.571 0 404400 4.696
0.572 0 404400 4.696
0.573 0 404400 4.696
0.574 0 404400 4.696
0.575 0 404400 4.696
0.576 0 404400 4.696
0.577 0 404400 4.696
0.578 0 404400 4.696
0.579 0 404400 4.696
0.58 0 404400 4.696
0.581 0 404400 4.696
0.582 0 404400 4.696
0.583 0 404400 4.696
0.584 0 404400 4.696
0.585 0 404400 4.696
0.586 0 404400 4.696
0.587 0 404400 4.696
0.588 0 404400 4.696
0.589 0 404400 4.696
0.59 0 404400 4.696
0.591 0 404400 4.696
0.592 0 404400 4.696
0.593 0 404400 4.696
0.594 0 404400 4.696
0.595 0 404400 4.696
0.596 0 404400 4.696
0.597 0 404400 4.696
0.598 0 404400 4.696
0.599 0 404400 4.696
0.6 0 404400 4.696
0.601 0 404400 4.696
0.602 0 404400 4.696
0.603 0 404400 4.696
0.604 0 404400 4.696
0.605 0 404400 4.696
0.606 0 404400 4.696
0.607 0 404400 4.696
0.608 0 404400 4.696
0.609 0 404400 4.696
0.61 0 404400 4.696
0.611 0 404400 4.696
0.612 0 404400 4.696
0.613 0 404400 4.696
0.614 0 404400 4.696
0.615 0 404400 4.696
0.616 0 404400 4.696
0.617 0 404400 4.696
0.618 0 404400 4.696
0.619 0 404400 4.696
0.62 0 404400 4.696
0.621 0 404400 4.696
0.622 0 404400 4.696
0.623 0 404400 4.696
0.624 0 404400 4.696
0.625 0 404400 4.696
0.626 0 404400 4.696
0.627 0 404400 4.696
0.628 0 404400 4.696
0.629 0 404400 4.696
0.63 0 404400 4.696
0.631 0 404400 4.696
0.632 0 404400 4.696
0.633 0 404400 4.696
0.634 0 404400 4.696
0.635 0 404400 4.696
0.636 0 404400 4.696
0.637 0 404400 4.696
0.638 0 404400 4.696
0.639 0 404400 4.696
0.64 0 404400 4.696
0.641 0 404400 4.696
0.642 0 404400 4.696
0.643 0 404400 4.696
0.644 0 404400 4.696
0.645 0 404400 4.696
0.646 0 404400 4.696
0.647 0 404400 4.696
0.648 0 404400 4.696
0.649 0 404400 4.696
0.65 0 404400 4.696
0.651 0 404400 4.696
0.652 0 404400 4.696
0.653 0 404400 4.696
0.654 0 404400 4.696
0.655 0 404400 4.696
0.656 0 404400 4.696
0.657 0 404400 4.696
0.658 0 404400 4.696
0.659 0 404400 4.696
0.66 0 404400 4.696
0.661 0 404400 4.696
0.662 0 404400 4.696
0.663 0 404400 4.696
0.664 0 404400 4.696
0.665 0 404400 4.696
0.666 0 404400 4.696
0.667 0 404400 4.696
0.668 0 404400 4.696
